Variable O&M ($/MWh),preexisting retiring,preexisting nonretiring,newly built
hard coal,4.40,2.67,3.63
natural gas nonpeaker,1.80,3.63,3.63
nuclear,2.35,2.35,2.35
hydro,4.40,2.67,3.63
onshore wind,0.00,0.00,0.00
solar PV,0.00,0.00,0.00
solar thermal,3.09,3.09,3.09
biomass,4.40,2.67,3.63
desalination,0.00,0.00,0.00
petroleum,4.40,1.80,3.63
natural gas peaker,4.40,4.40,4.40
lignite,4.40,2.67,3.63
offshore wind,4.40,2.67,3.63
crude oil,4.40,2.67,3.63
heavy or residual fuel oil,4.40,1.80,3.63
municipal solid waste,4.40,2.67,3.63
